text_a,text_b,labels
The rice to fish ration was also good - - they didn ' t try to overpack the rice .,t,1
We took advanatage of the half price sushi deal on saturday so it was well worth it .,deal,1
We took advanatage of the half price sushi deal on saturday so it was well worth it .,advanatage,0
We took advanatage of the half price sushi deal on saturday so it was well worth it .,price,1
We took advanatage of the half price sushi deal on saturday so it was well worth it .,saturday,0
We took advanatage of the half price sushi deal on saturday so it was well worth it .,sushi,1
Surprisingly nothing could be further from the truth .,truth,0
"In the evening , this place attracted a well dressed , with it , NY crowd .",crowd,1
"In the evening , this place attracted a well dressed , with it , NY crowd .",evening,0
"In the evening , this place attracted a well dressed , with it , NY crowd .",place,0
"In the evening , this place attracted a well dressed , with it , NY crowd .",NY,0
The food was well prepared and the service impecable .,service,1
The food was well prepared and the service impecable .,food,1
Quite simply it ' s like stepping out of Manhattan and into a haven of tranquility .,Manhattan,0
Quite simply it ' s like stepping out of Manhattan and into a haven of tranquility .,tranquility,0
Quite simply it ' s like stepping out of Manhattan and into a haven of tranquility .,haven,0
The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) .,menu,1
The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) .,quantity,0
The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) .,penny,0
The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) .,quality,0
The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) .,Prix,1
The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) .,Fixe,1
"It is terrific , as is the value .",value,0
"$ 6 and there is much tasty food , all of it fresh and continually refilled .",food,1
"I am not a vegetarian but , almost all the dishes were great .",vegetarian,0
"I am not a vegetarian but , almost all the dishes were great .",dishes,1
"The food here is rather good , but only if you like to wait for it .",food,1
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",chai,1
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",dhal,1
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",somosas,1
"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",dhosas,1
"The service varys from day to day - sometimes they ' re very nice , and sometimes not .",service,1
"The service varys from day to day - sometimes they ' re very nice , and sometimes not .",day,0
"The kitchen however , is almost always slow .",kitchen,1
"Also , specify if you like your food spicy - its rather bland if you don ' t .",t,0
"Also , specify if you like your food spicy - its rather bland if you don ' t .",food,1
"The ambience is pretty and nice for conversation , so a casual lunch here would probably be best .",conversation,0
"The ambience is pretty and nice for conversation , so a casual lunch here would probably be best .",ambience,1
"The ambience is pretty and nice for conversation , so a casual lunch here would probably be best .",lunch,0
If you ' ve ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer .,chart,0
If you ' ve ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer .,house,0
If you ' ve ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer .,Weehawken,0
If you ' ve ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer .,idea,0
If you ' ve ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer .,river,0
If you ' ve ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer .,view,1
If you ' ve ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer .,top,0
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,food,1
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,service,1
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,price,0
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,beginning,0
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening .,evening,0
The lava cake dessert was incredible and I recommend it .,dessert,1
The lava cake dessert was incredible and I recommend it .,lava,1
The lava cake dessert was incredible and I recommend it .,cake,1
"Once you step into Cosette , you ' re miraculously in a small , off - the - beaten path Parisian bistro .",path,0
"Once you step into Cosette , you ' re miraculously in a small , off - the - beaten path Parisian bistro .",Cosette,1
"Once you step into Cosette , you ' re miraculously in a small , off - the - beaten path Parisian bistro .",bistro,0
"This tiny restaurant is as cozy as it gets , with that certain Parisian flair .",restaurant,1
"This tiny restaurant is as cozy as it gets , with that certain Parisian flair .",flair,0
"The food was average to above - average ; the French Onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",desserts,1
"The food was average to above - average ; the French Onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",food,1
"The food was average to above - average ; the French Onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",average,0
"The food was average to above - average ; the French Onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",French,1
"The food was average to above - average ; the French Onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",soup,1
"The food was average to above - average ; the French Onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",way,0
"The food was average to above - average ; the French Onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",Onion,1
"However , go for the ambience , and consider the food just a companion for a trip across the world !",food,1
"However , go for the ambience , and consider the food just a companion for a trip across the world !",trip,0
"However , go for the ambience , and consider the food just a companion for a trip across the world !",ambience,1
"However , go for the ambience , and consider the food just a companion for a trip across the world !",world,0
"However , go for the ambience , and consider the food just a companion for a trip across the world !",companion,0
IT WAS HORRIBLE .,HORRIBLE,0
The pizza was delivered cold and the cheese wasn ' t even fully melted !,pizza,1
The pizza was delivered cold and the cheese wasn ' t even fully melted !,t,0
The pizza was delivered cold and the cheese wasn ' t even fully melted !,wasn,0
The pizza was delivered cold and the cheese wasn ' t even fully melted !,cheese,1
It looked like shredded cheese partly done - still in strips .,cheese,0
It looked like shredded cheese partly done - still in strips .,strips,0
This has got to be one of the most overrated restaurants in Brooklyn .,restaurants,0
This has got to be one of the most overrated restaurants in Brooklyn .,Brooklyn,0
The pizza is overpriced and soggy .,pizza,1
"Yes , they use fancy ingredients , but even fancy ingredients don ' t make for good pizza unless someone knows how to get the crust right .",t,1
"Yes , they use fancy ingredients , but even fancy ingredients don ' t make for good pizza unless someone knows how to get the crust right .",crust,1
"Yes , they use fancy ingredients , but even fancy ingredients don ' t make for good pizza unless someone knows how to get the crust right .",pizza,1
"Yes , they use fancy ingredients , but even fancy ingredients don ' t make for good pizza unless someone knows how to get the crust right .",ingredients,1
"Yes , they use fancy ingredients , but even fancy ingredients don ' t make for good pizza unless someone knows how to get the crust right .",don,0
"A big disappointment , all around .",disappointment,0
I think I ' ve had some the best meals of my life at minnow .,life,0
I think I ' ve had some the best meals of my life at minnow .,minnow,0
I think I ' ve had some the best meals of my life at minnow .,ve,0
I think I ' ve had some the best meals of my life at minnow .,meals,1
"The seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises .",menu,1
"The seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises .",wine,1
"The seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises .",surprises,0
"The seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises .",seafood,1
"The seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises .",list,1
The combination of super - fresh ingredients in the dishes are unusual but really delicious .,dishes,0
The combination of super - fresh ingredients in the dishes are unusual but really delicious .,combination,0
The combination of super - fresh ingredients in the dishes are unusual but really delicious .,ingredients,1
Worth the trip from Manhattan .,trip,0
Worth the trip from Manhattan .,Manhattan,0
Best Pastrami I ever had and great portion without being ridiculous .,Pastrami,1
Best Pastrami I ever had and great portion without being ridiculous .,Best,0
Best Pastrami I ever had and great portion without being ridiculous .,portion,1
My wife had the fried shrimp which are huge and loved it .,wife,0
My wife had the fried shrimp which are huge and loved it .,shrimp,1
"As a Japanese native , I ' ve lived in the Tristate area for over 8 years , but I was just so amazed at this place .",place,1
"As a Japanese native , I ' ve lived in the Tristate area for over 8 years , but I was just so amazed at this place .",native,0
"As a Japanese native , I ' ve lived in the Tristate area for over 8 years , but I was just so amazed at this place .",years,0
"As a Japanese native , I ' ve lived in the Tristate area for over 8 years , but I was just so amazed at this place .",ve,0
"As a Japanese native , I ' ve lived in the Tristate area for over 8 years , but I was just so amazed at this place .",area,0
"As a Japanese native , I ' ve lived in the Tristate area for over 8 years , but I was just so amazed at this place .",Tristate,0
This place is the most Japanese it can ever get .,place,1
"The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .",food,1
"The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .",signs,1
"The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .",specials,1
"The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .",waitstaff,1
"The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .",TOTALLY,0
"The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese .",menus,1
This place is worth an one - hour drive .,place,1
This place is worth an one - hour drive .,drive,0
This place is worth an one - hour drive .,hour,0
"Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .",hip,0
"Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .",gem,0
"Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .",specials,1
"Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .",East,0
"Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .",Leon,1
"Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .",Village,0
"Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .",atmosphere,1
"Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere .",bistro,1
"My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",wife,0
"My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",staff,1
"My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story .",story,0
Decent wine at reasonable prices .,wine,1
Decent wine at reasonable prices .,prices,0
Have been dozens of times and never failed to enjoy the experience .,experience,0
Have been dozens of times and never failed to enjoy the experience .,dozens,0
Have been dozens of times and never failed to enjoy the experience .,times,0
"Our teenage kids love it , too .",kids,0
"Everytime I decide to try another place on the UES , I get angry that I didn ' t just go to Zucchero Pomodori .",t,0
"Everytime I decide to try another place on the UES , I get angry that I didn ' t just go to Zucchero Pomodori .",place,0
"Everytime I decide to try another place on the UES , I get angry that I didn ' t just go to Zucchero Pomodori .",UES,0
"Everytime I decide to try another place on the UES , I get angry that I didn ' t just go to Zucchero Pomodori .",Pomodori,1
"Everytime I decide to try another place on the UES , I get angry that I didn ' t just go to Zucchero Pomodori .",Zucchero,1
This is by far my favorite place in the neighborhood .,neighborhood,0
This is by far my favorite place in the neighborhood .,place,1
"The service is excellent , the decor is great , and the food is delicious and comes in large portions .",service,1
"The service is excellent , the decor is great , and the food is delicious and comes in large portions .",food,1
"The service is excellent , the decor is great , and the food is delicious and comes in large portions .",portions,1
"The service is excellent , the decor is great , and the food is delicious and comes in large portions .",decor,1
I ' m partial to the Gnocchi .,m,0
I ' m partial to the Gnocchi .,Gnocchi,1
I ' m partial to the Gnocchi .,partial,0
This place is incredibly tiny .,place,1
They refuse to seat parties of 3 or more on weekends .,weekends,0
They refuse to seat parties of 3 or more on weekends .,parties,0
The hostess is rude to the point of being offensive .,point,0
The hostess is rude to the point of being offensive .,hostess,1
The food was bland oily .,food,1
I just don ' t understand all the hype . . .,hype,0
I just don ' t understand all the hype . . .,t,0
"We have been to this place many times , and always have great food , wine , and service .",wine,1
"We have been to this place many times , and always have great food , wine , and service .",food,1
"We have been to this place many times , and always have great food , wine , and service .",times,0
"We have been to this place many times , and always have great food , wine , and service .",service,1
"We have been to this place many times , and always have great food , wine , and service .",place,0
"We were worried we would have trouble getting in , but somehow managed to have a short wait .",wait,1
"We were worried we would have trouble getting in , but somehow managed to have a short wait .",trouble,0
As always we had a great glass of wine while we waited .,wine,1
As always we had a great glass of wine while we waited .,glass,1
"When we sat , we got great and fast service .",service,1
The people that work there are always so friendly you forget you are in New York sometimes .,New,0
The people that work there are always so friendly you forget you are in New York sometimes .,people,1
The people that work there are always so friendly you forget you are in New York sometimes .,York,0
Make sure you try this place as often as you can .,place,1
This is a fun restaurant to go to .,restaurant,1
The pizza is yummy and I like the atmoshpere .,pizza,1
The pizza is yummy and I like the atmoshpere .,atmoshpere,1
But the pizza is way to expensive .,pizza,1
But the pizza is way to expensive .,way,0
"A large is $ 20 , and toppings are about $ 3 each .",toppings,1
I went there for lunch and it was not as good as I expected from the reviews I read .,lunch,1
I went there for lunch and it was not as good as I expected from the reviews I read .,reviews,0
Sauce was watery and the food didn ' t have much flavor .,t,0
Sauce was watery and the food didn ' t have much flavor .,food,1
Sauce was watery and the food didn ' t have much flavor .,Sauce,1
Sauce was watery and the food didn ' t have much flavor .,didn,0
Sauce was watery and the food didn ' t have much flavor .,flavor,0
I don ' t think I would go again .,t,0
This place is great .,place,1
I had a huge group for my birthday and we were well taken care of .,group,0
I had a huge group for my birthday and we were well taken care of .,birthday,0
I had a huge group for my birthday and we were well taken care of .,care,0
The waitress was very patient with us and the food is phenomenal !,waitress,1
The waitress was very patient with us and the food is phenomenal !,food,1
"Service was prompt , friendly and great .",Service,1
Slightly on the pricey side but worth it !,side,0
