input_text_ids,input_text,target_text,prefix
1064477:4,We took advanatage of the half price sushi deal on saturday so it was well worth it . </s>,"The review expressed [positive] opinion on [food quality] for [half price sushi deal], [positive] opinion on [food prices] for [half price sushi deal] </s>",TASD
1074868:2,Surprisingly nothing could be further from the truth . </s>,The review expressed [positive] opinion on [restaurant miscellaneous] for [NULL] </s>,TASD
1074868:3,"In the evening , this place attracted a well dressed , with it , NY crowd . </s>",The review expressed [positive] opinion on [restaurant miscellaneous] for [crowd] </s>,TASD
1074868:4,The food was well prepared and the service impecable . </s>,"The review expressed [positive] opinion on [service general] for [service], [positive] opinion on [food quality] for [food] </s>",TASD
1074868:5,I ' m going back . </s>,The review expressed [positive] opinion on [restaurant general] for [NULL] </s>,TASD
1084394:1,Quite simply it ' s like stepping out of Manhattan and into a haven of tranquility . </s>,The review expressed [positive] opinion on [ambience general] for [NULL] </s>,TASD
1084394:3,The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) . </s>,"The review expressed [positive] opinion on [food quality] for [Prix Fixe menu], [positive] opinion on [food style_options] for [Prix Fixe menu], [positive] opinion on [food prices] for [Prix Fixe menu] </s>",TASD
1084394:4,I will be going back and heartily recommend it ! </s>,The review expressed [positive] opinion on [restaurant general] for [NULL] </s>,TASD
1086415:1,"It is terrific , as is the value . </s>","The review expressed [positive] opinion on [food quality] for [NULL], [positive] opinion on [food prices] for [NULL] </s>",TASD
1086415:2,"$ 6 and there is much tasty food , all of it fresh and continually refilled . </s>","The review expressed [positive] opinion on [food quality] for [food], [positive] opinion on [food style_options] for [food], [positive] opinion on [food prices] for [food] </s>",TASD
1086415:3,"I am not a vegetarian but , almost all the dishes were great . </s>",The review expressed [positive] opinion on [food quality] for [dishes] </s>,TASD
1086415:5,Go hungry and enjoy . </s>,The review expressed [positive] opinion on [restaurant general] for [NULL] </s>,TASD
1086478:0,"The food here is rather good , but only if you like to wait for it . </s>","The review expressed [negative] opinion on [service general] for [NULL], [positive] opinion on [food quality] for [food] </s>",TASD
1086478:1,"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing . </s>","The review expressed [positive] opinion on [food quality] for [somosas], [positive] opinion on [food quality] for [chai], [positive] opinion on [food quality] for [chole], [negative] opinion on [food quality] for [dhosas], [negative] opinion on [food quality] for [dhal] </s>",TASD
1086478:2,"The service varys from day to day - sometimes they ' re very nice , and sometimes not . </s>",The review expressed [negative] opinion on [service general] for [service] </s>,TASD
1086478:3,"The kitchen however , is almost always slow . </s>",The review expressed [negative] opinion on [service general] for [kitchen] </s>,TASD
1086478:4,"Also , specify if you like your food spicy - its rather bland if you don ' t . </s>",The review expressed [negative] opinion on [food quality] for [food] </s>,TASD
1086478:5,"The ambience is pretty and nice for conversation , so a casual lunch here would probably be best . </s>","The review expressed [positive] opinion on [restaurant miscellaneous] for [NULL], [positive] opinion on [ambience general] for [ambience] </s>",TASD
1090587:1,If you ' ve ever been along the river in Weehawken you have an idea of the top of view the chart house has to offer . </s>,The review expressed [positive] opinion on [location general] for [view] </s>,TASD
1090587:2,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening . </s>,"The review expressed [positive] opinion on [service general] for [service], [positive] opinion on [food quality] for [food], [positive] opinion on [food prices] for [food] </s>",TASD
1090587:3,The lava cake dessert was incredible and I recommend it . </s>,The review expressed [positive] opinion on [food quality] for [lava cake dessert] </s>,TASD
1102681:0,"Once you step into Cosette , you ' re miraculously in a small , off - the - beaten path Parisian bistro . </s>",The review expressed [positive] opinion on [ambience general] for [Cosette] </s>,TASD
1102681:1,"This tiny restaurant is as cozy as it gets , with that certain Parisian flair . </s>",The review expressed [positive] opinion on [ambience general] for [restaurant] </s>,TASD
1102681:2,"The food was average to above - average ; the French Onion soup filling yet not overly impressive , and the desserts not brilliant in any way . </s>","The review expressed [positive] opinion on [food quality] for [food], [negative] opinion on [food quality] for [French Onion soup], [negative] opinion on [food quality] for [desserts], [positive] opinion on [food style_options] for [French Onion soup] </s>",TASD
1102681:3,"However , go for the ambience , and consider the food just a companion for a trip across the world ! </s>","The review expressed [neutral] opinion on [food quality] for [food], [positive] opinion on [ambience general] for [ambience] </s>",TASD
1118167:1,IT WAS HORRIBLE . </s>,The review expressed [negative] opinion on [restaurant general] for [NULL] </s>,TASD
1118167:2,The pizza was delivered cold and the cheese wasn ' t even fully melted ! </s>,"The review expressed [negative] opinion on [food quality] for [pizza], [negative] opinion on [food quality] for [cheese] </s>",TASD
1118167:3,It looked like shredded cheese partly done - still in strips . </s>,The review expressed [negative] opinion on [food style_options] for [NULL] </s>,TASD
1119578:0,This has got to be one of the most overrated restaurants in Brooklyn . </s>,The review expressed [negative] opinion on [restaurant general] for [NULL] </s>,TASD
1119578:1,The pizza is overpriced and soggy . </s>,"The review expressed [negative] opinion on [food quality] for [pizza], [negative] opinion on [food prices] for [pizza] </s>",TASD
1119578:2,"Yes , they use fancy ingredients , but even fancy ingredients don ' t make for good pizza unless someone knows how to get the crust right . </s>","The review expressed [positive] opinion on [food quality] for [ingredients], [negative] opinion on [food quality] for [pizza], [negative] opinion on [food quality] for [crust] </s>",TASD
1119578:3,"A big disappointment , all around . </s>",The review expressed [negative] opinion on [restaurant general] for [NULL] </s>,TASD
1123262:0,I think I ' ve had some the best meals of my life at minnow . </s>,The review expressed [positive] opinion on [food quality] for [meals] </s>,TASD
1123262:1,"The seafood is amazing , there ' s a good wine list , and the ever - changing menu always offers some great surprises . </s>","The review expressed [positive] opinion on [food quality] for [seafood], [positive] opinion on [food style_options] for [menu], [positive] opinion on [drinks style_options] for [wine list] </s>",TASD
1123262:2,The combination of super - fresh ingredients in the dishes are unusual but really delicious . </s>,The review expressed [positive] opinion on [food quality] for [ingredients] </s>,TASD
1123262:3,Worth the trip from Manhattan . </s>,The review expressed [positive] opinion on [restaurant general] for [NULL] </s>,TASD
1125006:1,Best Pastrami I ever had and great portion without being ridiculous . </s>,"The review expressed [positive] opinion on [food quality] for [Pastrami], [positive] opinion on [food style_options] for [portion] </s>",TASD
1125006:3,My wife had the fried shrimp which are huge and loved it . </s>,"The review expressed [positive] opinion on [food quality] for [fried shrimp], [positive] opinion on [food style_options] for [fried shrimp] </s>",TASD
1125284:0,"As a Japanese native , I ' ve lived in the Tristate area for over 8 years , but I was just so amazed at this place . </s>",The review expressed [positive] opinion on [restaurant general] for [place] </s>,TASD
1125284:1,This place is the most Japanese it can ever get . </s>,The review expressed [positive] opinion on [restaurant miscellaneous] for [place] </s>,TASD
1125284:2,"The signs , the specials menus , food , and even all the waitstaff are ALL TOTALLY Japanese . </s>","The review expressed [positive] opinion on [service general] for [waitstaff], [positive] opinion on [food quality] for [food], [positive] opinion on [food style_options] for [specials menus], [positive] opinion on [restaurant miscellaneous] for [signs] </s>",TASD
1125284:3,This place is worth an one - hour drive . </s>,The review expressed [positive] opinion on [restaurant general] for [place] </s>,TASD
1125284:4,"I am so coming back here again , as much as I can . </s>",The review expressed [positive] opinion on [restaurant general] for [NULL] </s>,TASD
1126814:0,"Leon is an East Village gem : casual but hip , with well prepared basic French bistro fare , good specials , a warm and lively atmosphere . </s>","The review expressed [positive] opinion on [restaurant general] for [Leon], [positive] opinion on [food quality] for [French bistro fare], [positive] opinion on [food quality] for [specials], [positive] opinion on [ambience general] for [Leon], [positive] opinion on [ambience general] for [atmosphere] </s>",TASD
1126814:1,"My wife and I always enjoy the young , not always well trained but nevertheless friendly , staff , all of whom have a story . </s>",The review expressed [positive] opinion on [service general] for [staff] </s>,TASD
1126814:3,Decent wine at reasonable prices . </s>,"The review expressed [positive] opinion on [drinks prices] for [wine], [neutral] opinion on [drinks quality] for [wine] </s>",TASD
1126814:4,Have been dozens of times and never failed to enjoy the experience . </s>,The review expressed [positive] opinion on [restaurant general] for [NULL] </s>,TASD
1126814:5,"Our teenage kids love it , too . </s>",The review expressed [positive] opinion on [restaurant general] for [NULL] </s>,TASD
1126886:0,"Everytime I decide to try another place on the UES , I get angry that I didn ' t just go to Zucchero Pomodori . </s>",The review expressed [positive] opinion on [restaurant general] for [Zucchero Pomodori] </s>,TASD
1126886:1,This is by far my favorite place in the neighborhood . </s>,The review expressed [positive] opinion on [restaurant general] for [place] </s>,TASD
1126886:2,"The service is excellent , the decor is great , and the food is delicious and comes in large portions . </s>","The review expressed [positive] opinion on [service general] for [service], [positive] opinion on [food quality] for [food], [positive] opinion on [food style_options] for [portions], [positive] opinion on [ambience general] for [decor] </s>",TASD
1126886:4,I ' m partial to the Gnocchi . </s>,The review expressed [positive] opinion on [restaurant general] for [Gnocchi] </s>,TASD
1131595:0,This place is incredibly tiny . </s>,The review expressed [negative] opinion on [restaurant miscellaneous] for [place] </s>,TASD
1131595:1,They refuse to seat parties of 3 or more on weekends . </s>,The review expressed [negative] opinion on [service general] for [NULL] </s>,TASD
1131595:2,The hostess is rude to the point of being offensive . </s>,The review expressed [negative] opinion on [service general] for [hostess] </s>,TASD
1131595:3,The food was bland oily . </s>,The review expressed [negative] opinion on [food quality] for [food] </s>,TASD
1131595:4,I just don ' t understand all the hype . . . </s>,The review expressed [negative] opinion on [restaurant general] for [NULL] </s>,TASD
1138996:1,"We have been to this place many times , and always have great food , wine , and service . </s>","The review expressed [positive] opinion on [service general] for [service], [positive] opinion on [food quality] for [food], [positive] opinion on [drinks quality] for [wine] </s>",TASD
1138996:2,"We were worried we would have trouble getting in , but somehow managed to have a short wait . </s>",The review expressed [positive] opinion on [service general] for [wait] </s>,TASD
1138996:3,As always we had a great glass of wine while we waited . </s>,The review expressed [positive] opinion on [drinks quality] for [glass of wine] </s>,TASD
1138996:4,"When we sat , we got great and fast service . </s>",The review expressed [positive] opinion on [service general] for [service] </s>,TASD
1138996:5,The people that work there are always so friendly you forget you are in New York sometimes . </s>,The review expressed [positive] opinion on [service general] for [people] </s>,TASD
1138996:6,Make sure you try this place as often as you can . </s>,The review expressed [positive] opinion on [restaurant general] for [place] </s>,TASD
1145510:0,This is a fun restaurant to go to . </s>,The review expressed [positive] opinion on [restaurant general] for [restaurant] </s>,TASD
1145510:1,The pizza is yummy and I like the atmoshpere . </s>,"The review expressed [positive] opinion on [food quality] for [pizza], [positive] opinion on [ambience general] for [atmoshpere] </s>",TASD
1145510:2,But the pizza is way to expensive . </s>,The review expressed [negative] opinion on [food prices] for [pizza] </s>,TASD
1145510:3,"A large is $ 20 , and toppings are about $ 3 each . </s>",The review expressed [negative] opinion on [food prices] for [toppings] </s>,TASD
1147082:0,I went there for lunch and it was not as good as I expected from the reviews I read . </s>,The review expressed [negative] opinion on [food quality] for [lunch] </s>,TASD
1147082:1,Sauce was watery and the food didn ' t have much flavor . </s>,"The review expressed [negative] opinion on [food quality] for [Sauce], [negative] opinion on [food quality] for [food] </s>",TASD
1147082:3,I don ' t think I would go again . </s>,The review expressed [negative] opinion on [restaurant general] for [NULL] </s>,TASD
1147211:0,This place is great . </s>,The review expressed [positive] opinion on [restaurant general] for [place] </s>,TASD
1147211:1,I had a huge group for my birthday and we were well taken care of . </s>,The review expressed [positive] opinion on [service general] for [NULL] </s>,TASD
1147211:2,The waitress was very patient with us and the food is phenomenal ! </s>,"The review expressed [positive] opinion on [service general] for [waitress], [positive] opinion on [food quality] for [food] </s>",TASD
1147211:3,"Service was prompt , friendly and great . </s>",The review expressed [positive] opinion on [service general] for [Service] </s>,TASD
1147211:4,Slightly on the pricey side but worth it ! </s>,"The review expressed [positive] opinion on [restaurant general] for [NULL], [negative] opinion on [restaurant prices] for [NULL] </s>",TASD
1153034:0,Great pizza and fantastic service . </s>,"The review expressed [positive] opinion on [service general] for [service], [positive] opinion on [food quality] for [pizza] </s>",TASD
1153034:1,"There was a small wait , but shorter than I expected . </s>",The review expressed [positive] opinion on [service general] for [wait] </s>,TASD
1153034:2,Located at the end of a magnificent block . </s>,The review expressed [positive] opinion on [location general] for [block] </s>,TASD
1153034:3,Very cozy and warm inside . . . . . </s>,The review expressed [positive] opinion on [ambience general] for [NULL] </s>,TASD
1153034:4,I will be back ! </s>,The review expressed [positive] opinion on [restaurant general] for [NULL] </s>,TASD
1154550:0,This is the best sushi in new york city - hands down . </s>,The review expressed [positive] opinion on [food quality] for [sushi] </s>,TASD
1154550:1,The place is small and cramped but the food is fantastic . </s>,"The review expressed [positive] opinion on [food quality] for [food], [negative] opinion on [ambience general] for [place] </s>",TASD
1154550:2,Get the tuna of gari . </s>,The review expressed [positive] opinion on [food quality] for [tuna of gari] </s>,TASD
1162037:0,"Planet Thailand has always been a hit with me , I go there usually for the sushi , which is great , the thai food is excellent too . </s>","The review expressed [positive] opinion on [restaurant general] for [Planet Thailand], [positive] opinion on [food quality] for [sushi], [positive] opinion on [food quality] for [thai food] </s>",TASD
1162037:1,"With the great variety on the menu , I eat here often and never get bored . </s>",The review expressed [positive] opinion on [food style_options] for [menu] </s>,TASD
1162037:2,"The atmosphere isn ' t the greatest , but I suppose that ' s how they keep the prices down . </s>","The review expressed [positive] opinion on [restaurant prices] for [NULL], [neutral] opinion on [ambience general] for [atmosphere] </s>",TASD
1162037:3,It ' s all about the food ! ! </s>,The review expressed [positive] opinion on [food quality] for [food] </s>,TASD
1167434:1,first it took us a long time to find the place . </s>,The review expressed [negative] opinion on [restaurant miscellaneous] for [place] </s>,TASD
1167434:3,"but when we looked at the menu , there weren ' t a lot of choices , most of them were dumplings in the appetizer section . </s>",The review expressed [negative] opinion on [food style_options] for [menu] </s>,TASD
1167434:5,"those rolls were big , but not good and sashimi wasn ' t fresh . </s>","The review expressed [negative] opinion on [food quality] for [rolls], [negative] opinion on [food quality] for [sashimi], [neutral] opinion on [food style_options] for [rolls] </s>",TASD
1167434:6,"they were dry and disgusting , i didn ' t even finish my first piece . </s>",The review expressed [negative] opinion on [food quality] for [NULL] </s>,TASD
1175958:0,Hurley ' s is like Cheers where everyone knows your name and they are ACTUALLY glad you came . </s>,The review expressed [positive] opinion on [service general] for [NULL] </s>,TASD
1175958:1,"Try the crunchy tuna , it is to die for . </s>",The review expressed [positive] opinion on [food quality] for [crunchy tuna] </s>,TASD
1175958:2,"Try everything for that matter , it is all good . </s>",The review expressed [positive] opinion on [food quality] for [NULL] </s>,TASD
1175958:3,I have been going there since it opened and I can ' t get enough . </s>,The review expressed [positive] opinion on [restaurant general] for [NULL] </s>,TASD
1189674:0,First went here to enjoy their garden terrace . </s>,The review expressed [positive] opinion on [ambience general] for [garden terrace] </s>,TASD
1189674:1,"The food was amazing , and the service was prompt and helpful , but not over - bearing or rushed . </s>","The review expressed [positive] opinion on [service general] for [service], [positive] opinion on [food quality] for [food] </s>",TASD
1189674:2,"The Steak Tartare is a great bet , they fix it for you at the table . </s>",The review expressed [positive] opinion on [food style_options] for [Steak Tartare] </s>,TASD
1189674:3,"Admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm . </s>","The review expressed [positive] opinion on [ambience general] for [open kitchen], [negative] opinion on [ambience general] for [restaurant] </s>",TASD
1189674:4,"Great wine selection , Gigondas is worth the price , and the house champagne is a great value . </s>","The review expressed [positive] opinion on [drinks style_options] for [wine selection], [positive] opinion on [drinks prices] for [house champagne], [positive] opinion on [drinks quality] for [Gigondas] </s>",TASD
1189674:5,"It may be a bit packed on weekends , but the vibe is good and it is the best French food you will find in the area . </s>","The review expressed [positive] opinion on [food quality] for [French food], [positive] opinion on [ambience general] for [vibe], [neutral] opinion on [ambience general] for [NULL] </s>",TASD
1189674:6,"Have recommended the place to friends , always gets good response . </s>",The review expressed [positive] opinion on [restaurant miscellaneous] for [place] </s>,TASD
1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread ! </s>","The review expressed [positive] opinion on [food quality] for [pizza], [positive] opinion on [food quality] for [crust] </s>",TASD
1199292:3,I take all my NYC guests to VT ' s . </s>,The review expressed [positive] opinion on [restaurant miscellaneous] for [NULL] </s>,TASD
1199480:0,"Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great food ! </s>","The review expressed [positive] opinion on [food quality] for [food], [positive] opinion on [location general] for [neighborhood] </s>",TASD
1199480:1,I ' ve been there three times and have always had wonderful experiences . </s>,The review expressed [positive] opinion on [restaurant general] for [NULL] </s>,TASD
1199480:2,I ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service . </s>,"The review expressed [positive] opinion on [service general] for [service], [positive] opinion on [restaurant miscellaneous] for [NULL], [positive] opinion on [ambience general] for [setting] </s>",TASD
1205520:0,I ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much . . . and we ' re repeat customers . </s>,The review expressed [positive] opinion on [restaurant general] for [Mizu] </s>,TASD
1205520:1,Even after they overcharged me the last time I was there . </s>,The review expressed [negative] opinion on [service general] for [NULL] </s>,TASD
1205520:2,Make sure you have the Spicy Scallop roll . . . </s>,The review expressed [positive] opinion on [food quality] for [Spicy Scallop roll] </s>,TASD
1205520:3,it ' s delicious ! </s>,The review expressed [positive] opinion on [food quality] for [NULL] </s>,TASD
1212346:0,"Moules were excellent , lobster ravioli was VERY salty ! </s>","The review expressed [positive] opinion on [food quality] for [Moules], [negative] opinion on [food quality] for [lobster ravioli] </s>",TASD
1212346:1,"Took my mom for Mother ' s Day , and the maitre d ' was pretty rude . </s>",The review expressed [negative] opinion on [service general] for [NULL] </s>,TASD
1212346:2,"Told us to sit anywhere , and when we sat he said the table was reserved . </s>",The review expressed [negative] opinion on [service general] for [NULL] </s>,TASD
1212346:3,Stepped on my foot on the SECOND time he reached over me to adjust lighting . </s>,The review expressed [negative] opinion on [service general] for [NULL] </s>,TASD
1212346:4,Tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is . </s>,"The review expressed [negative] opinion on [food style_options] for [dessert], [negative] opinion on [food prices] for [dessert] </s>",TASD
1221938:0,The drinks are always welll made and wine selection is fairly priced . </s>,"The review expressed [positive] opinion on [drinks prices] for [wine selection], [positive] opinion on [drinks quality] for [drinks] </s>",TASD
1221938:1,Try their chef ' s specials - - they are to die for . </s>,The review expressed [positive] opinion on [food quality] for [NULL] </s>,TASD
1221938:2,"Service is not exactly five star , but thats not really a big deal . </s>",The review expressed [neutral] opinion on [service general] for [Service] </s>,TASD
1221938:3,Downstairs lounge is always a good attraction </s>,The review expressed [positive] opinion on [ambience general] for [Downstairs lounge] </s>,TASD
1225162:0,"Raga ' s is a romantic , cozy restaurant . </s>",The review expressed [positive] opinion on [ambience general] for [NULL] </s>,TASD
1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations . </s>,"The review expressed [positive] opinion on [food quality] for [exotic food], [positive] opinion on [food style_options] for [exotic food] </s>",TASD
1225162:2,It is also extremely well priced . </s>,The review expressed [positive] opinion on [food prices] for [NULL] </s>,TASD
1225162:3,The staff is incredibly helpful and attentive . </s>,The review expressed [positive] opinion on [service general] for [staff] </s>,TASD
1225162:4,The bar is very well stocked with interesting beers and well priced wines . </s>,"The review expressed [positive] opinion on [drinks style_options] for [bar], [positive] opinion on [drinks style_options] for [beers], [positive] opinion on [drinks prices] for [wines] </s>",TASD
1225162:5,This is one of my favorite restaurants and it is not to be missed . </s>,The review expressed [positive] opinion on [restaurant general] for [NULL] </s>,TASD
1225162:6,Your friends will thank you for introducing them to this gem ! </s>,The review expressed [positive] opinion on [restaurant general] for [NULL] </s>,TASD
1227999:0,"When we stumbled on Leon , we thought that we had found quite the gem BUT , we were certainly wrong . </s>",The review expressed [negative] opinion on [restaurant general] for [Leon] </s>,TASD
1227999:1,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no . . . </s>",The review expressed [negative] opinion on [service general] for [waitress] </s>,TASD
