prefix,input_text,target_text
ASD,"Best of all is the warm vibe, the owner is super friendly and service is fast.","The review expressed [positive] opinion on [ambience], [positive] opinion on [service]"
ASD,This isn't a value joint.,The review expressed [negative] opinion on [price]
ASD,Faan's got a great concept but a little rough on the delivery.,"The review expressed [positive] opinion on [anecdotes], [negative] opinion on [service]"
ASD,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","The review expressed [positive] opinion on [food], [positive] opinion on [ambience], [positive] opinion on [service]"
ASD,"Great food at REASONABLE prices, makes for an evening that can't be beat!","The review expressed [positive] opinion on [price], [positive] opinion on [food]"
ASD,Look foward to trying the Ruben upon returning.,The review expressed [positive] opinion on [anecdotes]
ASD,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,The review expressed [neutral] opinion on [anecdotes]
ASD,We usually go to the Chart House to celebrate a birthday or anniversary.,The review expressed [neutral] opinion on [anecdotes]
ASD,this little place has a cute interior decor and affordable city prices.,"The review expressed [positive] opinion on [price], [positive] opinion on [ambience]"
ASD,You'll adore it.,The review expressed [positive] opinion on [anecdotes]
ASD,Two words: Free wine.,The review expressed [positive] opinion on [price]
ASD,The price is reasonable although the service is poor.,"The review expressed [positive] opinion on [price], [negative] opinion on [service]"
ASD,"The quantity is also very good, you will come out satisfied.",The review expressed [positive] opinion on [food]
ASD,I have been to Roth's twice and both times were very disappointing.,The review expressed [negative] opinion on [anecdotes]
ASD,Worth visiting the 1st Ave spot because it is the original store.,The review expressed [positive] opinion on [anecdotes]
ASD,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",The review expressed [neutral] opinion on [anecdotes]
ASD,"Raga's is a romantic, cozy restaurant.",The review expressed [positive] opinion on [ambience]
ASD,The fried rice is amazing here.,The review expressed [positive] opinion on [food]
ASD,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",The review expressed [positive] opinion on [food]
ASD,it's a perfect place to have a amanzing indian food.,The review expressed [positive] opinion on [food]
ASD,The place is so cool and the service is prompt and curtious.,"The review expressed [positive] opinion on [ambience], [positive] opinion on [service]"
ASD,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,The review expressed [positive] opinion on [food]
ASD,I just wonder how you can have such a delicious meal for such little money.,"The review expressed [positive] opinion on [price], [positive] opinion on [food]"
ASD,The food was delicious but do not come here on a empty stomach.,The review expressed [conflict] opinion on [food]
ASD,The wine list is excellent.,The review expressed [positive] opinion on [food]
ASD,so garantuan that you can't fit them in a toaster.,The review expressed [positive] opinion on [food]
ASD,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",The review expressed [positive] opinion on [food]
ASD,They wouldnt even let me finish my glass of wine before offering another.,The review expressed [positive] opinion on [service]
ASD,I highly recommend the Sophia pizza.,The review expressed [positive] opinion on [anecdotes]
ASD,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",The review expressed [negative] opinion on [service]
ASD,This is a consistently great place to dine for lunch or dinner.,The review expressed [positive] opinion on [anecdotes]
ASD,"Nice atmosphere, the service was very pleasant and the desert was good.","The review expressed [positive] opinion on [food], [positive] opinion on [ambience], [positive] opinion on [service]"
ASD,All the people that I bring there go back on their own and bring THEIR friends!,The review expressed [positive] opinion on [anecdotes]
ASD,After really enjoying ourselves at the bar we sat down at a table and had dinner.,The review expressed [positive] opinion on [anecdotes]
ASD,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","The review expressed [positive] opinion on [food], [positive] opinion on [ambience], [positive] opinion on [service]"
ASD,Not what I wanted to hear.,The review expressed [negative] opinion on [anecdotes]
ASD,Try the lasagnette appetizer.,The review expressed [positive] opinion on [food]
ASD,"Pricey, but worth a try, at least once.","The review expressed [negative] opinion on [price], [positive] opinion on [anecdotes]"
ASD,"I've been there a few times, and I usually end up sitting next to some pretty odd people.",The review expressed [negative] opinion on [anecdotes]
ASD,I liked the beer selection!,The review expressed [positive] opinion on [food]
ASD,"Great food, good size menu, great service and an unpretensious setting.","The review expressed [positive] opinion on [food], [positive] opinion on [ambience], [positive] opinion on [service]"
ASD,Go here for a romantic dinner but not for an all out wow dining experience.,The review expressed [conflict] opinion on [anecdotes]
ASD,Can't wait to go back.,The review expressed [positive] opinion on [anecdotes]
ASD,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,The review expressed [neutral] opinion on [anecdotes]
ASD,Wine list selection is good and wine-by-the-glass was generously filled to the top.,The review expressed [positive] opinion on [food]
ASD,"With the great variety on the menu , I eat here often and never get bored .",The review expressed [positive] opinion on [food]
ASD,The menu is very limited - i think we counted 4 or 5 entrees.,The review expressed [negative] opinion on [food]
ASD,"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",The review expressed [positive] opinion on [anecdotes]
ASD,The menu is limited but almost all of the dishes are excellent.,The review expressed [conflict] opinion on [food]
ASD,Not too crazy about their sake martini.,The review expressed [negative] opinion on [food]
ASD,"Great bagels, spreads and a good place to hang out in.","The review expressed [positive] opinion on [anecdotes], [positive] opinion on [food]"
ASD,"The service varys from day to day- sometimes they're very nice, and sometimes not.",The review expressed [conflict] opinion on [service]
ASD,"whoever the jazz duo was, they were on POINT.",The review expressed [positive] opinion on [ambience]
ASD,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,The review expressed [positive] opinion on [service]
ASD,This place is a great bargain.,The review expressed [positive] opinion on [price]
ASD,We happened upon this place purely by accident and were pleased with the results.,The review expressed [positive] opinion on [anecdotes]
ASD,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","The review expressed [negative] opinion on [anecdotes], [positive] opinion on [food]"
ASD,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,The review expressed [positive] opinion on [anecdotes]
ASD,We always have a delicious meal and always leave feeling satisfied.,The review expressed [positive] opinion on [food]
ASD,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",The review expressed [neutral] opinion on [food]
ASD,First went here to enjoy their garden terrace.,The review expressed [positive] opinion on [ambience]
ASD,"My husbands was perfect, my was well done and dry.",The review expressed [conflict] opinion on [food]
ASD,"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.",The review expressed [positive] opinion on [service]
ASD,The pizza was pretty good and huge.,The review expressed [positive] opinion on [food]
ASD,Sapphire is the only Indian restaurant I go to when I'm in NYC.,The review expressed [positive] opinion on [anecdotes]
ASD,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",The review expressed [neutral] opinion on [food]
ASD,I heartily recommend.,The review expressed [positive] opinion on [anecdotes]
ASD,Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,The review expressed [positive] opinion on [anecdotes]
ASD,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,The review expressed [positive] opinion on [ambience]
ASD,They are often crowded on the weekends but they are efficient and accurate with their service.,"The review expressed [negative] opinion on [ambience], [positive] opinion on [service]"
ASD,All my co-workers were amazed at how small the dish was.,The review expressed [negative] opinion on [food]
ASD,"The atmosphere is unheralded, the service impecible, and the food magnificant.","The review expressed [positive] opinion on [food], [positive] opinion on [ambience], [positive] opinion on [service]"
ASD,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",The review expressed [negative] opinion on [food]
ASD,"The wait staff is friendly, and the food has gotten better and better!","The review expressed [positive] opinion on [food], [positive] opinion on [service]"
ASD,"This place, which is only a few months old, is perhaps Queens' biggest secret!",The review expressed [positive] opinion on [anecdotes]
ASD,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","The review expressed [positive] opinion on [food], [conflict] opinion on [ambience]"
ASD,This place is so much fun.,The review expressed [positive] opinion on [anecdotes]
ASD,I was glad I did.,The review expressed [positive] opinion on [anecdotes]
ASD,Right off the L in Brooklyn this is a nice cozy place with good pizza.,"The review expressed [positive] opinion on [food], [positive] opinion on [ambience]"
ASD,I've never been treated so rudely.,The review expressed [negative] opinion on [service]
ASD,I'll be back soon.,The review expressed [positive] opinion on [anecdotes]
ASD,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,The review expressed [positive] opinion on [food]
ASD,Went inside and I started to get excited.,The review expressed [positive] opinion on [anecdotes]
ASD,I also ordered for delivery and the restaurant forgot half the order.,The review expressed [negative] opinion on [service]
ASD,Our server checked on us maybe twice during the entire meal.,The review expressed [negative] opinion on [service]
ASD,"However, it is jus too good to not praise it.",The review expressed [positive] opinion on [anecdotes]
ASD,We have been to Montparnasse many times and return often for good reason.,The review expressed [positive] opinion on [anecdotes]
ASD,The strong scents coming from the left and right of me negatively affected my taste buds.,The review expressed [negative] opinion on [anecdotes]
ASD,We had the lobster sandwich and it was FANTASTIC.,The review expressed [positive] opinion on [food]
ASD,It's somewhere you can eat and be happy.,The review expressed [positive] opinion on [anecdotes]
ASD,"If you wrote a bad review, it's because you don't understand what Rao's is all about.",The review expressed [positive] opinion on [anecdotes]
ASD,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",The review expressed [negative] opinion on [service]
ASD,but overall i give it a 10,The review expressed [positive] opinion on [anecdotes]
ASD,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","The review expressed [positive] opinion on [price], [positive] opinion on [food]"
ASD,Deep Fried Skewers are good and still rare to find in NYC.,The review expressed [positive] opinion on [food]
ASD,"I have tried to make reservations, but both times, the hostess didn't have my name.",The review expressed [negative] opinion on [service]
ASD,I also recommend the rice dishes or the different varieties of congee (rice porridge).,The review expressed [positive] opinion on [food]
ASD,Their tuna tartar appetizer is to die for.,The review expressed [positive] opinion on [food]
ASD,This was one of the BEST restaurants I've ever been to.,The review expressed [positive] opinion on [anecdotes]
ASD,This restaurant used to be pretty decent.,The review expressed [negative] opinion on [anecdotes]
ASD,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",The review expressed [positive] opinion on [food]
ASD,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",The review expressed [positive] opinion on [food]
ASD,I love Indian food and consider myself to be quite an expert on it.,The review expressed [positive] opinion on [food]
ASD,Some baby pizzas get their wish.,The review expressed [neutral] opinion on [food]
ASD,Plenty of choices to make your own creation.,The review expressed [positive] opinion on [food]
ASD,It was tiny and I felt like I was eating in someone's living room.,The review expressed [negative] opinion on [ambience]
ASD,I was there on sat.,The review expressed [neutral] opinion on [anecdotes]
ASD,Overall A oh ya even though there is waiting it is deff worth it,"The review expressed [positive] opinion on [anecdotes], [negative] opinion on [service]"
ASD,The lava cake dessert was incredible and I recommend it.,The review expressed [positive] opinion on [food]
ASD,VT is what baby pizzas hope to be when they grow up.,The review expressed [positive] opinion on [anecdotes]
ASD,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.","The review expressed [negative] opinion on [food], [negative] opinion on [service]"
ASD,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,"The review expressed [positive] opinion on [price], [positive] opinion on [food]"
ASD,The last time I went we were seated at a table in a corridor next to the kitchen.,The review expressed [negative] opinion on [anecdotes]
ASD,good selection of wines ranging from affordable to high end.,"The review expressed [conflict] opinion on [price], [positive] opinion on [food]"
ASD,"Nice restaurant overall, with classic upscale Italian decor.",The review expressed [positive] opinion on [ambience]
ASD,Not impressed with the food.,The review expressed [negative] opinion on [food]
ASD,The entire dining experience was wonderful!,The review expressed [positive] opinion on [anecdotes]
ASD,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,"The review expressed [positive] opinion on [anecdotes], [positive] opinion on [food]"
ASD,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,The review expressed [positive] opinion on [service]
ASD,"Order the panang duck, it's fantastic.",The review expressed [positive] opinion on [food]
ASD,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",The review expressed [conflict] opinion on [food]
ASD,"Other than the crappy service from two individuals, it's great.",The review expressed [conflict] opinion on [service]
ASD,What more can you ask for?,The review expressed [positive] opinion on [anecdotes]
ASD,Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.,The review expressed [neutral] opinion on [anecdotes]
ASD,They have authentic Indian at amazin prices.,"The review expressed [positive] opinion on [price], [positive] opinion on [food]"
ASD,You are treated just like royality.,The review expressed [positive] opinion on [service]
ASD,"There's nice and quiet, small but enough for 6 (or more).",The review expressed [conflict] opinion on [ambience]
ASD,Ambiance- relaxed and stylish.,The review expressed [positive] opinion on [ambience]
ASD,I've never felt more unwelcome than last month at Jimmy's Bronx Cafe.,The review expressed [negative] opinion on [anecdotes]
ASD,"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.",The review expressed [positive] opinion on [food]
ASD,"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",The review expressed [negative] opinion on [food]
ASD,"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).",The review expressed [negative] opinion on [ambience]
ASD,and yes Dal Bukhara is so dam good and so are all the kababs.,The review expressed [positive] opinion on [food]
ASD,I look forward to eating here again,The review expressed [positive] opinion on [anecdotes]
ASD,I've been coming here as a child and always come back for the taste.,The review expressed [positive] opinion on [food]
ASD,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,"The review expressed [positive] opinion on [price], [positive] opinion on [food], [positive] opinion on [ambience]"
ASD,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",The review expressed [positive] opinion on [food]
ASD,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",The review expressed [negative] opinion on [food]
ASD,The food always tastes fresh and served promptly.,"The review expressed [positive] opinion on [food], [positive] opinion on [service]"
ASD,I know because I live nearby.,The review expressed [neutral] opinion on [anecdotes]
ASD,The pizza here is delicious.,The review expressed [positive] opinion on [food]
ASD,My entire family was horrified.,The review expressed [negative] opinion on [anecdotes]
ASD,On a monthly basis my friends and I get together and have a girls night out.,The review expressed [neutral] opinion on [anecdotes]
ASD,"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!","The review expressed [positive] opinion on [food], [positive] opinion on [service]"
ASD,"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.",The review expressed [positive] opinion on [food]
ASD,But who says Murray's is anything about service.,The review expressed [neutral] opinion on [service]
ASD,"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.","The review expressed [positive] opinion on [anecdotes], [negative] opinion on [food]"
ASD,I have NEVER been disappointed in the Red Eye.,The review expressed [positive] opinion on [anecdotes]
ASD,Hats off to the chef.,The review expressed [positive] opinion on [food]
ASD,This should have been done in a back room - away from customers.,The review expressed [negative] opinion on [anecdotes]
ASD,"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.","The review expressed [positive] opinion on [anecdotes], [negative] opinion on [service]"
ASD,Glad you have the luxury to throw out paying customers.,The review expressed [neutral] opinion on [anecdotes]
ASD,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",The review expressed [positive] opinion on [food]
ASD,Its an excellent place to relax and the food is one of the best in the city of New York.,"The review expressed [positive] opinion on [food], [positive] opinion on [ambience]"
ASD,"service is friendly, and never had a problem walking in and getting a table.",The review expressed [positive] opinion on [service]
ASD,The atmosphere was crowded but it was a great bistro-type vibe.,The review expressed [conflict] opinion on [ambience]
ASD,Check it out,The review expressed [positive] opinion on [anecdotes]
ASD,"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",The review expressed [negative] opinion on [service]
ASD,Don't go.,The review expressed [negative] opinion on [anecdotes]
ASD,The food was bland oily.,The review expressed [negative] opinion on [food]
ASD,But they do.,The review expressed [neutral] opinion on [anecdotes]
ASD,"What is even better, is that the prices are very affordable as well, and the food is really good.","The review expressed [positive] opinion on [price], [positive] opinion on [food]"
ASD,The fish is fresh but the variety of fish is nothing out of ordinary.,The review expressed [conflict] opinion on [food]
ASD,Look I dont know if the people who wrote the reviews have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES).,The review expressed [neutral] opinion on [anecdotes]
ASD,Suan has challenged this loyalty.,The review expressed [neutral] opinion on [anecdotes]
ASD,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",The review expressed [positive] opinion on [food]
ASD,"And Kruno, the beverage manager is the best bartender I have yet to come across.",The review expressed [positive] opinion on [service]
ASD,"Ambiance and music funky, which I enjoy.",The review expressed [positive] opinion on [ambience]
ASD,"The food, drinks and service are clearly among the best in the city.","The review expressed [positive] opinion on [food], [positive] opinion on [service]"
ASD,I went there in late afternoon for some bite size food and refleshment with my date.,The review expressed [neutral] opinion on [anecdotes]
ASD,"It's a really great deal, considering we got full off of four dollars.",The review expressed [positive] opinion on [price]
ASD,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.","The review expressed [positive] opinion on [food], [positive] opinion on [ambience], [positive] opinion on [service]"
ASD,Went with mommy (the only person who could afford taking me here).,The review expressed [neutral] opinion on [anecdotes]
ASD,My friends and I were on vacation in NY and was referred to Chance by a friend.,The review expressed [neutral] opinion on [anecdotes]
ASD,"Last time I went here, the waitress didn't come back after taking our order.",The review expressed [negative] opinion on [service]
ASD,Try the tandoori salmon!,The review expressed [positive] opinion on [food]
ASD,"I am completely hooked on this place, it is ridiculous.",The review expressed [positive] opinion on [anecdotes]
ASD,"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","The review expressed [negative] opinion on [anecdotes], [positive] opinion on [ambience]"
ASD,"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.","The review expressed [negative] opinion on [ambience], [positive] opinion on [service]"
ASD,"Have recommended the place to friends, always gets good response.",The review expressed [positive] opinion on [anecdotes]
ASD,We will return many times for this oasis in mid-town.,The review expressed [positive] opinion on [anecdotes]
ASD,I love the atmorphere @ peep!,The review expressed [positive] opinion on [ambience]
ASD,Enjoy!,The review expressed [positive] opinion on [anecdotes]
ASD,We weren't!,The review expressed [neutral] opinion on [anecdotes]
ASD,This is one of my favorite restaurants and it is not to be missed.,The review expressed [positive] opinion on [anecdotes]
ASD,(La Rosa is connected by a swinging door to the Mexican restaurant Pacifico).,The review expressed [neutral] opinion on [anecdotes]
ASD,It could have been handled better.,The review expressed [negative] opinion on [anecdotes]
ASD,The service was attentive and her suggestions of menu items was right on the mark.,The review expressed [positive] opinion on [service]
ASD,The other night we had the $30 three course meal and everything was delicious - if I could of licked the plate clean I would of.,The review expressed [positive] opinion on [food]
ASD,Please be aware that it's CASH or AMEX only!,The review expressed [neutral] opinion on [anecdotes]
ASD,"Even after getting pushed out by the no-class Famous Ray's, Sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the Outstanding Pizza!",The review expressed [positive] opinion on [food]
ASD,It's a rather cramped and busy restaurant and it closes early.,The review expressed [negative] opinion on [ambience]
ASD,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.","The review expressed [negative] opinion on [food], [positive] opinion on [ambience], [negative] opinion on [service]"
ASD,"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",The review expressed [positive] opinion on [food]
ASD,I had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,The review expressed [neutral] opinion on [anecdotes]
ASD,They were served warm and had a soft fluffy interior.,The review expressed [positive] opinion on [food]
ASD,What came to our table was burned beyond recognition and stringy.,The review expressed [negative] opinion on [food]
ASD,I had the Pad Thai and the noodles were sticky.,The review expressed [negative] opinion on [food]
ASD,"So I've never actually been to M proper, but I've had it delivered a few times.",The review expressed [neutral] opinion on [anecdotes]
ASD,"Among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",The review expressed [positive] opinion on [price]
ASD,"Frankly, when you compare what you can have here for lunch, versus McDs or so many other sandwich shops in the city, there is no comparison.",The review expressed [positive] opinion on [food]
ASD,The hostess is rude to the point of being offensive.,The review expressed [negative] opinion on [service]
ASD,"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!","The review expressed [positive] opinion on [food], [negative] opinion on [service]"
ASD,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",The review expressed [negative] opinion on [ambience]
ASD,The food is great.,The review expressed [positive] opinion on [food]
ASD,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,The review expressed [positive] opinion on [food]
ASD,"Lunch came with pickels and slaw, no extra charge.",The review expressed [positive] opinion on [price]
ASD,Decent wine at reasonable prices.,"The review expressed [positive] opinion on [price], [positive] opinion on [food]"
ASD,All conveniently delivered right to the door.,The review expressed [positive] opinion on [service]
ASD,even the wine by the glass was good.,The review expressed [positive] opinion on [food]
ASD,Nice Family owned traditional restaurant.,The review expressed [positive] opinion on [anecdotes]
ASD,would have rather tried terrace in the sky or water club for that price,"The review expressed [negative] opinion on [price], [neutral] opinion on [anecdotes]"
ASD,This dish is my favorite and I always get it when I go there and never get tired of it.,The review expressed [positive] opinion on [food]
ASD,"I also ordered the Change Mojito, which was out of this world.",The review expressed [positive] opinion on [food]
ASD,Okay service.,The review expressed [neutral] opinion on [service]
ASD,The only thing more wonderful than the food (which is exceptional) is the service.,"The review expressed [positive] opinion on [food], [positive] opinion on [service]"
ASD,We were very pleasantly surprised.,The review expressed [positive] opinion on [anecdotes]
ASD,"The food was just awful, ATROCIOUS actually.",The review expressed [negative] opinion on [food]
ASD,I will never visit this restaurant again.,The review expressed [negative] opinion on [anecdotes]
ASD,The soup for the udon was soy sauce and water.,The review expressed [negative] opinion on [food]
ASD,"The anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",The review expressed [positive] opinion on [food]
ASD,The waitress suggested glasses of wine that went very well with the food.,"The review expressed [positive] opinion on [food], [positive] opinion on [service]"
ASD,"(or sister, in my case!).",The review expressed [neutral] opinion on [anecdotes]
ASD,I've eaten at many different Indian restaurants.,The review expressed [neutral] opinion on [anecdotes]
ASD,"They might be all business at the counter when you give your order, but their food says I love you.","The review expressed [positive] opinion on [food], [negative] opinion on [service]"
ASD,"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",The review expressed [positive] opinion on [food]
ASD,Try their plain pizza with fresh garlic or eggplant.,The review expressed [positive] opinion on [food]
ASD,Don't go there!,The review expressed [negative] opinion on [anecdotes]
ASD,"Ok, so the servers wander around a little clueless, but there's more than enough servers for the crowd they get -- it's fine, you just have to make a small effort to get their attention.",The review expressed [conflict] opinion on [service]
ASD,Good luck getting a table.,The review expressed [negative] opinion on [anecdotes]
ASD,"We picked it randomly, without a recommendation from someone who has been there, so we weren't sure what to expect.",The review expressed [neutral] opinion on [anecdotes]
ASD,Don't look down your nose at me like that...,The review expressed [negative] opinion on [anecdotes]
ASD,Planet Thai is great!,The review expressed [positive] opinion on [anecdotes]
ASD,The service is awful.,The review expressed [negative] opinion on [service]
ASD,Just don't do it.,The review expressed [negative] opinion on [anecdotes]
ASD,Just ignore the trendy wannabes.,The review expressed [negative] opinion on [anecdotes]
ASD,"The takeout menu says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!",The review expressed [positive] opinion on [food]
ASD,"Trust me, it will be great, and all of it will be devoured in no time.",The review expressed [positive] opinion on [food]
ASD,My girlfiends and I ate at O.G. again last night.,The review expressed [neutral] opinion on [anecdotes]
ASD,I wish they had one near my office- I would go everyday.,The review expressed [positive] opinion on [anecdotes]
ASD,Finally!,The review expressed [positive] opinion on [anecdotes]
ASD,Amma has the worst value for money I have experienced in NYC over the past 2 years.,The review expressed [negative] opinion on [price]
ASD,"I am not the most experienced person when it comes to Thai food, but my friend who took me there is.",The review expressed [neutral] opinion on [anecdotes]
ASD,I think this would be a pretty good spot if it were not so overpriced and overrated.,The review expressed [negative] opinion on [price]
