input_text_ids,input_text,target_text,prefix
1162037:2,"The atmosphere isn ' t the greatest , but I suppose that ' s how they keep the prices down .",NULL ~~ atmosphere,TD
1162037:3,It ' s all about the food ! !,food,TD
1167434:1,first it took us a long time to find the place .,place,TD
1167434:3,"but when we looked at the menu , there weren ' t a lot of choices , most of them were dumplings in the appetizer section .",menu,TD
1167434:5,"those rolls were big , but not good and sashimi wasn ' t fresh .",rolls ~~ sashimi ~~ rolls,TD
1167434:6,"they were dry and disgusting , i didn ' t even finish my first piece .",NULL,TD
1175958:0,Hurley ' s is like Cheers where everyone knows your name and they are ACTUALLY glad you came .,NULL,TD
1175958:1,"Try the crunchy tuna , it is to die for .",crunchy tuna,TD
1175958:2,"Try everything for that matter , it is all good .",NULL,TD
1175958:3,I have been going there since it opened and I can ' t get enough .,NULL,TD
1189674:0,First went here to enjoy their garden terrace .,garden terrace,TD
1189674:1,"The food was amazing , and the service was prompt and helpful , but not over - bearing or rushed .",service ~~ food,TD
1189674:2,"The Steak Tartare is a great bet , they fix it for you at the table .",Steak Tartare,TD
1189674:3,"Admittedly some nights inside the restaurant were rather warm , but the open kitchen is part of the charm .",open kitchen ~~ restaurant,TD
1189674:4,"Great wine selection , Gigondas is worth the price , and the house champagne is a great value .",wine selection ~~ house champagne ~~ Gigondas,TD
1189674:5,"It may be a bit packed on weekends , but the vibe is good and it is the best French food you will find in the area .",French food ~~ vibe ~~ NULL,TD
1189674:6,"Have recommended the place to friends , always gets good response .",place,TD
1199292:0,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !",pizza ~~ crust,TD
1199292:3,I take all my NYC guests to VT ' s .,NULL,TD
1199480:0,"Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great food !",food ~~ neighborhood,TD
1199480:1,I ' ve been there three times and have always had wonderful experiences .,NULL,TD
1199480:2,I ' d highly recommend it for a special occasion - - it provides and intimate setting and nice service .,service ~~ setting ~~ NULL,TD
1205520:0,I ' m not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much . . . and we ' re repeat customers .,Mizu,TD
1205520:1,Even after they overcharged me the last time I was there .,NULL,TD
1205520:2,Make sure you have the Spicy Scallop roll . . .,Spicy Scallop roll,TD
1205520:3,it ' s delicious !,NULL,TD
1212346:0,"Moules were excellent , lobster ravioli was VERY salty !",Moules ~~ lobster ravioli,TD
1212346:1,"Took my mom for Mother ' s Day , and the maitre d ' was pretty rude .",NULL,TD
1212346:2,"Told us to sit anywhere , and when we sat he said the table was reserved .",NULL,TD
1212346:3,Stepped on my foot on the SECOND time he reached over me to adjust lighting .,NULL,TD
1212346:4,Tiny dessert was $ 8 . 00 . . . just plain overpriced for what it is .,dessert ~~ dessert ~~ dessert,TD
1221938:0,The drinks are always welll made and wine selection is fairly priced .,wine selection ~~ drinks,TD
1221938:1,Try their chef ' s specials - - they are to die for .,NULL,TD
1221938:2,"Service is not exactly five star , but thats not really a big deal .",Service,TD
1221938:3,Downstairs lounge is always a good attraction,Downstairs lounge,TD
1225162:0,"Raga ' s is a romantic , cozy restaurant .",NULL,TD
1225162:1,The exotic food is beautifully presented and is a delight in delicious combinations .,exotic food ~~ exotic food,TD
1225162:2,It is also extremely well priced .,NULL,TD
1225162:3,The staff is incredibly helpful and attentive .,staff,TD
1225162:4,The bar is very well stocked with interesting beers and well priced wines .,bar ~~ beers ~~ wines,TD
1225162:5,This is one of my favorite restaurants and it is not to be missed .,NULL,TD
1225162:6,Your friends will thank you for introducing them to this gem !,NULL,TD
1227999:0,"When we stumbled on Leon , we thought that we had found quite the gem BUT , we were certainly wrong .",Leon,TD
1227999:1,"The waitress moved our table practically into the bathroom and when we asked to cancel our dinner orders because we did not want to eat sitting on the toilet , we were told no . . .",waitress,TD
1227999:2,"Then , to top things off , she dropped used silverware on my boyfriend ' s jacket and did not stop to apologize or clean the mess that was left on clothes .",NULL,TD
1227999:3,Such a disappointment . . .,NULL,TD
1227999:4,"Rude service , medicore food . . . there are tons of restaurants in NY . . . stay away from this one",NULL ~~ service ~~ food,TD
1230993:0,I had a grat time at Jekyll and Hyde !,Jekyll and Hyde,TD
1230993:1,I loved everythig about it - especially the shows and actors .,NULL ~~ shows ~~ actors,TD
1230993:2,Our server was very helpful and friendly .,server,TD
1230993:3,I am bringing my whole family back next time .,NULL,TD
1230993:4,The food was good too .,food,TD
1232468:0,The tuna and wasabe potatoes are excellent .,tuna ~~ wasabe potatoes,TD
1232468:1,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .,outdoor atmosphere,TD
1232468:2,"Inside is a little cramped , but to be expected .",NULL,TD
1232468:3,Service was prompt and courteous .,Service,TD
1232468:4,This was a repeat visit and we ' ll definitely be back again .,NULL,TD
1241906:0,"Great service , great food .",service ~~ food,TD
1241906:1,Prices are in line .,NULL,TD
1241906:3,But too far east !,NULL,TD
1253117:1,"The pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s .",pizza ~~ fresh mozzarella,TD
1253117:2,"Two complaints - their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu .",appetizer selection,TD
1253117:3,"Also , because it is so thin , it gets cold very quickly and its not that filling .",NULL ~~ NULL,TD
1253117:5,Wait staff is blantently unappreciative of your business but its the best pie on the UWS !,Wait staff ~~ pie,TD
1256373:0,By far the best salad I have had in a fast food restaurant .,salad,TD
1256373:1,fine dining restaurant quality .,dining,TD
1256373:2,Over 100 different choices to create your own .,NULL,TD
1256373:3,A must try !,NULL,TD
1264954:0,"On a recent Sunday afternoon , a friend and I accidently found this great restaurant on our way to see the pulitzer prize winning play DOUBT .",restaurant,TD
1264954:1,"This was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .",NULL ~~ NULL,TD
1264954:2,"The chicken pot pie is excpetiona , the cheeseburger huge and delictable , and the service professional wan warm .",service ~~ chicken pot pie ~~ cheeseburger ~~ cheeseburger,TD
1264954:3,"With so many poor experiences to be had in the theater district , is truly an excellent find !",NULL,TD
1264954:4,We will return many times for this oasis in mid - town .,NULL,TD
1269216:1,The staff is no nonsense .,staff,TD
1269216:2,The food options rule .,food,TD
1269216:3,When I lived upstate for a while I would buy freeze the bagels and they would still be better than any else .,bagels,TD
1269216:4,Worth visiting the 1st Ave spot because it is the original store .,1st Ave spot,TD
1275154:4,"He served me an Uni Hand roll , which I never had before , and let me tell you . . . IT WAS HEAVEN !",Uni Hand roll,TD
1275154:6,The sake menu should not be overlooked !,sake menu,TD
1275154:7,"All in all , this midtown gem instantly became one of my favorite sushi restaurants in the city .",NULL,TD
1275154:8,Try the lobster teriyaki and the rose special roll .,lobster teriyaki ~~ rose special roll,TD
1280166:1,"Service was very good - prompt , attentive and non - intrusive .",Service,TD
1280166:2,"Food was very good as well , considering that we tried the budget selection ( though I wish the pork belly that I ordered was roasted a bit longer , so that fat was more of a melt - in - your - mouth experience ) .",Food ~~ pork belly,TD
1280166:3,Wine list selection is good and wine - by - the - glass was generously filled to the top .,Wine list selection ~~ wine - by - the - glass,TD
1280166:4,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .,Traditional French decour ~~ hall,TD
1280179:0,"I ' ve been to at Cafe Spice probably 5 - 8 times , it is probably still the best Indian restaurant around Union Square .",Cafe Spice,TD
1280179:1,"To sum it up : Service varies from good to mediorce , depending on which waiter you get ; generally it is just average Ok .",Service,TD
1280179:2,"Seating is always prompt , though the restaurant does fill up in the evening .",Seating,TD
1280179:3,"Food is usually very good , though ocasionally I wondered about freshmess of raw vegatables in side orders .",Food ~~ raw vegatables in side orders,TD
1280179:4,"As many other reviewers noticed , your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time .",NULL,TD
1280179:5,"The decor is vibrant and eye - pleasing with several semi - private boths on the right side of the dining hall , which are great for a date .",decor ~~ semi - private boths,TD
1286916:0,I have NEVER been disappointed in the Red Eye .,Red Eye,TD
1286916:1,"The first time I went , and was completely taken by the live jazz band and atmosphere , I ordered the Lobster Cobb Salad .",live jazz band ~~ atmosphere,TD
1286916:3,It ' s simply the best meal in NYC .,meal,TD
1286916:4,You cannot go wrong at the Red Eye Grill .,Red Eye Grill,TD
1287538:0,"If we were to move from the upper east side , we would genuinely miss this restaurant .",restaurant,TD
1287538:2,The restaurant is cute but not upscale .,restaurant,TD
1287538:3,The food is a diamond in rough - - the food is delicious and homemade with the perfect balance of herbs and tomatoes .,food ~~ balance of herbs and tomatoes,TD
1287538:4,I would highly recommend it .,NULL,TD
1287538:5,It ' s one of our favorite places to eat in NY .,NULL,TD
1289424:0,We had a great time at the Jekyll and hyde Pub last night .,Jekyll and hyde Pub,TD
1289424:2,After really enjoying ourselves at the bar we sat down at a table and had dinner .,bar,TD
1289424:3,The server was really cool and served us our food and drinks with a smile .,server,TD
1289424:4,The place ' s decor and hidden bathrooms made for a good laugh .,decor ~~ hidden bathrooms,TD
1289424:5,I highly recommend visiting this restaurant and having dinner and drinks !,restaurant,TD
1293334:0,"If you are the type of person who likes being scared and entertained , this is a great place to go and eat .",place,TD
1293334:1,"My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary , and to our surprise it was fantastic .",Jekyll and Hyde Pub,TD
1293334:2,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if I must recommend a dish it must be the pumkin tortelini .",food ~~ pumkin tortelini ~~ beers,TD
1293334:3,The entertainment was great they have shows that go on through out the dinner .,entertainment,TD
1293334:4,"Please take my advice , go and try this place .",place,TD
1293334:6,You will not be disapointed at all .,NULL,TD
1297844:1,We were not dissappointed in the least bit by this little gem .,NULL,TD
1297844:2,The bagel was huge .,bagel,TD
1297844:3,They were served warm and had a soft fluffy interior .,NULL,TD
1297844:4,The workers there also absolutely load the bagel with cream cheese ( gets a little messy ) .,bagel,TD
1297844:5,I loved it and would HIGHLY RECOMMEND .,NULL,TD
1300636:0,This was my frist time at Cafe St . Bart ' s and I must say how delicous the food and the service was .,service ~~ food,TD
1300636:2,I have to highly recommend the lobster roll - not to much mayo ; you can tell it was a fresh lobster .,lobster roll ~~ lobster,TD
1300636:3,"Other guests enjoyed pizza , santa fe chopped salad and fish and chips .",pizza ~~ santa fe chopped salad ~~ fish and chips,TD
1300636:4,"I highly recommend Cafe St . Bart ' s for their food , the ambience and wonderful service .",service ~~ food ~~ ambience,TD
1303888:0,All the staff is absolutely professional ! !,staff,TD
1303888:3,"( that is A MUST , but not every restaurant can do . . . )",NULL,TD
1303888:5,"There ' s nice and quiet , small but enough for 6 ( or more ) .",NULL,TD
1303984:0,This restaurant was way overhyped .,restaurant,TD
1303984:1,My chow fun and chow see was really bland and oily .,chow fun and chow see,TD
1303984:2,Okay - i don ' t mind the oily part ( cause most are cooked that way ) but it was way too bland .,NULL,TD
1303984:3,The scallion pancakes and fried dumplings were nothing out of the ordinary .,scallion pancakes ~~ fried dumplings,TD
1308557:0,The service was the only thing good about this restaurant .,restaurant ~~ service,TD
1308557:1,"It ' s boring on the inside , and our sushi was pretty below average . . . the tuna was soggy and the other rolls had no flavor .",sushi ~~ tuna ~~ rolls ~~ NULL,TD
1308557:2,I definitely wouldn ' t go back .,NULL,TD
1310217:1,Their pad penang is delicious and everything else is fantastic .,pad penang,TD
1310217:2,The price is reasonable although the service is poor .,service ~~ NULL,TD
1318537:0,fresh restaurant was amazing . . . . . . . . food was delicious and of course fresh .,fresh restaurant ~~ food,TD
1318537:1,"great for a romantic evening , or a fun evening with friends . . .",NULL ~~ NULL,TD
1318537:2,I will be going back very soon .,NULL,TD
1318537:3,keep up the good work .,NULL,TD
1318537:4,Hats off to the chef .,chef,TD
1328078:2,It was wonderful .,NULL,TD
1328078:3,"the salads are delicious , both refreshing and very spicy .",salads,TD
1328078:4,We had Pam ' s special fried fish and it was amazing .,NULL,TD
1328078:5,too large for just two people but nothing was left .,NULL ~~ NULL,TD
1335154:1,"Great vibe , lots of people .",vibe,TD
1335154:3,"My husbands was perfect , my was well done and dry .",NULL ~~ NULL,TD
1335154:4,"I didn ' t complain , I liked the atmosphere so much .",atmosphere,TD
1335656:1,On a hot day it was fabulous to stop in and enjoy lunch .,NULL,TD
1335656:2,"Ambience is so cute and quaint , good for business although we were there on vacation .",Ambience ~~ NULL,TD
1335656:3,Salads were fantastic .,Salads,TD
1335656:4,Although we were looking for regular lettuce and some walnuts the salads we got were great .,salads,TD
1335656:5,Ingredients are organic which is a real plus for me .,Ingredients,TD
1335656:6,We will be back .,NULL,TD
1338124:0,"This is some really good , inexpensive sushi .",sushi ~~ sushi,TD
1338124:2,The spicy Tuna roll is huge and probably the best that I ' ve had at this price range .,spicy Tuna roll ~~ spicy Tuna roll ~~ spicy Tuna roll,TD
1338124:3,The Yellowtail was particularly good as well .,Yellowtail,TD
1338124:4,"I have reservations about the all you can eat deal , however - - the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu .",all you can eat deal ~~ all you can eat deal,TD
1338124:5,"In any event , this is a place I ' ll be sure to stop by again when I ' m in this part of town .",place,TD
1340075:0,Big Wong gets big Ups for a fine establishment .,Big Wong,TD
1340075:1,"They have it all - - great price , food , and service .",NULL ~~ service ~~ food ~~ NULL,TD
1340075:2,The atmosphere is noisy and the waiters are literally walking around doing things as fast as they can .,waiters ~~ atmosphere,TD
1340075:3,The food is prepared quickly and efficiently .,NULL,TD
1340075:4,"And it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3 - 6 each ) .",noodles ~~ rice dishes,TD
1340075:5,The takeout is great too since they give high quality tupperware as well .,takeout,TD
1340075:6,This place is always very crowded and popular .,place,TD
1341354:1,Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese . . . . both very tasty .,Caesar Salad ~~ arugula and goat cheese,TD
1341354:2,We both opted for a pasta dish and they were served timely and fresh .,NULL ~~ pasta dish,TD
1341354:3,"We concluded with tiramisu chocolate cake , both were delicious .",tiramisu chocolate cake,TD
1341354:4,We ' d go back again,NULL,TD
1347423:0,I recently went to this restaurant with some co - workers for lunch and had an amazing time .,restaurant,TD
1347423:1,"The staff was accomodating , the food was absolutely delicious and the place is lovely .",staff ~~ food ~~ place,TD
1347423:2,We even had a visit from the Manager who wanted to make sure we were enjoying ourselves .,Manager,TD
1347423:3,"Yes , the prices are high , but I felt it was worth it .",NULL ~~ NULL,TD
1347423:4,We all felt it was worth it .,NULL,TD
1349391:0,sometimes i get good food and ok service .,service ~~ food,TD
1349391:1,"sometimes i get bad food and bad service , sometimes i get good good and bad service .",service ~~ good ~~ food,TD
1349391:2,it is not consistent .,NULL,TD
1352948:0,The place is a BISTRO which means : simple dishes and wine served efficiently in a bustling atmosphere .,NULL ~~ dishes ~~ wine ~~ atmosphere,TD
1352948:1,And where does Patis go wrong ; no where .,Patis,TD
1352948:2,"You are not eating haut cuisine with subtle hints of whatever but : Cassuolet , Steake Fritte , Tripe Stew , etc ; simple stuff .",NULL ~~ NULL,TD
1352948:3,And evaluated on those terms Pastis is simply wonderful .,Pastis,TD
1353599:0,Right off the L in Brooklyn this is a nice cozy place with good pizza .,pizza ~~ place,TD
1353599:1,Mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) .,NULL ~~ NULL,TD
1353599:2,My friend got the mushroom pizza which tasted better .,mushroom pizza,TD
1353599:3,The sangria was pretty tasty and good on a hot muggy day .,sangria,TD
1353599:4,Kind of a small place but I guess if they are not too busy might be able to fit a group or kids .,place,TD
1353599:5,Overall I would recommend it and go back again .,NULL,TD
1357554:0,I started out with a Bombay beer which was big enough for two .,Bombay beer,TD
1357554:2,MMmmm . . . it was delicious .,NULL,TD
1357554:3,"Service was slow , but the people were friendly .",people ~~ Service,TD
1357554:4,It ' s a nice place to relax and have conversation .,place,TD
1357554:5,I can ' t wait to go back .,NULL,TD
1367358:1,The food is authentic Italian - delicious !,food,TD
1367358:2,"Pizza is terrific , as is homemade pasta .",Pizza ~~ homemade pasta,TD
1367358:3,"Ambience is delightful , service impeccable .",service ~~ Ambience,TD
1380450:0,I ' m still mad that i had to pay for lousy food .,food,TD
1380450:1,The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed .,hanger steak ~~ tuna,TD
1380450:2,Service was also horrible and the ambience is not that great .,Service ~~ ambience,TD
1380450:3,DO not try unless you ' re just going there to hang out like the rest of the hipsters who apparently have no sense of taste .,NULL,TD
1387314:0,I go and eat out at many different restaurants and this is one place you have go and try .,place,TD
1387314:1,This is my first time writing a review for a restaurant because the food and service was excellent .,service ~~ food,TD
